fixed_image,moving_image,background,size,transform,magnitude,total_matches,conf_matches,inliers,MSE,NCC,MI,SSIM
1,13,Eroded+Cropped,1/4,,,147,40,33,0.030060773715376854,0.005679599940776825,1.0484094619750977,0.42414939403533936
1,13,Eroded+Cropped,1/4,,,255,85,50,0.02487638033926487,0.012257548980414867,1.0553748607635498,0.47165951132774353
1,13,Eroded+Cropped,1/4,,,276,87,61,0.022520216181874275,0.017814647406339645,1.0657904148101807,0.48887428641319275
1,13,Eroded+Cropped,1/4,,,620,251,230,0.019546005874872208,0.022512972354888916,1.0829150676727295,0.4991215765476227
1,13,Eroded+Cropped,1/4,,,566,255,118,0.01997789554297924,0.045263342559337616,1.0840789079666138,0.519136369228363
1,13,Eroded+Cropped,1/4,,,279,94,54,0.016513651236891747,0.0048942966386675835,1.1016972064971924,0.5054357051849365
1,13,Eroded+Cropped,1/4,,,165,34,37,0.033673904836177826,0.0005786094116047025,1.0415284633636475,0.40661484003067017
1,13,Eroded+Cropped,1/4,,,295,83,55,0.025706030428409576,0.01523916982114315,1.057871699333191,0.4751023054122925
1,13,Eroded+Cropped,1/4,,,461,192,124,0.015398828312754631,0.02298676036298275,1.0951521396636963,0.5244911313056946
1,13,Eroded+Cropped,1/4,,,620,251,230,0.019546005874872208,0.022512972354888916,1.0829150676727295,0.4991215765476227
1,13,Eroded+Cropped,1/4,,,147,40,33,0.030060773715376854,0.005679599940776825,1.0484094619750977,0.42414939403533936
1,13,Eroded+Cropped,1/4,,,255,85,50,0.02487638033926487,0.012257548980414867,1.0553748607635498,0.47165951132774353
1,13,Eroded+Cropped,1/4,,,276,87,61,0.022520216181874275,0.017814647406339645,1.0657904148101807,0.48887428641319275
1,13,Eroded+Cropped,1/4,,,620,251,230,0.019546005874872208,0.022512972354888916,1.0829150676727295,0.4991215765476227
1,13,Eroded+Cropped,1/4,,,566,255,118,0.01997789554297924,0.045263342559337616,1.0840789079666138,0.519136369228363
1,13,Eroded+Cropped,1/4,,,279,94,54,0.016513651236891747,0.0048942966386675835,1.1016972064971924,0.5054357051849365
1,13,Eroded+Cropped,1/4,,,165,34,37,0.033673904836177826,0.0005786094116047025,1.0415284633636475,0.40661484003067017
1,13,Eroded+Cropped,1/4,,,295,83,55,0.025706030428409576,0.01523916982114315,1.057871699333191,0.4751023054122925
1,13,Eroded+Cropped,1/4,,,461,192,124,0.015398828312754631,0.02298676036298275,1.0951521396636963,0.5244911313056946
