leaf_uid,registration_method,leaf_scale,pre_rotated,markers,warp_consistency,filtering_strategy,smoothing,fixed_image,moving_image,MSE,MAPE,NCC,MI,MI_Skimage,SSIM,IoU,Hausdorff
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,1,0.025186119601130486,141.42420959472656,0.5685227513313293,1.0335474014282227,1.1126019327884775,0.6236256957054138,0.9476295709609985,33.53612518310547
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,2,0.019317183643579483,93.66542053222656,0.5636888742446899,1.0126842260360718,1.073828404833602,0.600858211517334,0.974663496017456,11.0
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,3,0.027402561157941818,151.95794677734375,0.5873639583587646,1.032443642616272,1.0873558133546721,0.6043702363967896,0.9723467230796814,13.0
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,4,0.022908339276909828,99.03446197509766,0.3472248315811157,1.0093107223510742,1.0715695574161892,0.4973447322845459,0.9543899893760681,41.1096076965332
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,5,0.017162347212433815,87.06849670410156,0.3510065972805023,1.0107228755950928,1.075538955906653,0.5175043344497681,0.968212902545929,13.059041976928711
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,6,0.021172700449824333,97.531982421875,0.3430635631084442,1.0142742395401,1.0771633366113356,0.5180008411407471,0.97153639793396,17.00852394104004
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,7,0.02759632281959057,153.92808532714844,0.2339220494031906,1.0073540210723877,1.0665700589530316,0.4370211362838745,0.9678963422775269,13.0
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,8,0.021272964775562286,108.624755859375,0.20408573746681213,1.013340950012207,1.0552129303504298,0.4260810315608978,0.945436954498291,46.184326171875
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,9,0.022435881197452545,100.71697235107422,0.1072893738746643,1.0047228336334229,1.064332295458535,0.4059787094593048,0.9602565169334412,15.0
ESWW0090151_6,LoFTR + TPS Individual,roi,True,True,True,min_distance,100,0,10,0.01942073553800583,114.67373657226562,0.10003901273012161,1.0056153535842896,1.0680051412583766,0.3897346556186676,0.9700285792350769,15.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,min_distance,100,0,1,0.025186119601130486,141.42420959472656,0.5685227513313293,1.0335474014282227,1.1126019327884775,0.6236256957054138,0.9476295709609985,33.53612518310547
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,min_distance,100,0,2,0.019642416387796402,94.8055191040039,0.46270424127578735,1.0102449655532837,1.0716975795545387,0.5597590804100037,0.9728496670722961,12.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,min_distance,100,0,3,0.028152644634246826,154.43870544433594,0.4249371290206909,1.02549409866333,1.0817850178605122,0.5260295271873474,0.9701685309410095,13.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,min_distance,100,0,4,0.022925306111574173,99.11075592041016,0.32657212018966675,1.0098105669021606,1.0762640543464643,0.49240735173225403,0.9625157713890076,22.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,min_distance,100,0,5,0.017070529982447624,88.0773696899414,0.2875007688999176,1.0105128288269043,1.0734835546045518,0.4811260402202606,0.9650649428367615,15.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,min_distance,100,0,6,0.021360639482736588,98.65705108642578,0.2858649492263794,1.0127166509628296,1.0747393313868077,0.4944843649864197,0.9707794785499573,17.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,min_distance,100,0,7,0.02804603800177574,155.7624053955078,0.2940164804458618,1.0100041627883911,1.0660565118880785,0.4525507390499115,0.9646787047386169,13.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,min_distance,100,0,8,0.020602678880095482,107.22056579589844,0.18293341994285583,1.0144755840301514,1.0656681281165012,0.430507630109787,0.9657469987869263,14.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,min_distance,100,0,9,0.022232599556446075,100.48033905029297,0.17084498703479767,1.0051156282424927,1.0655779226250393,0.4277889132499695,0.9620707035064697,14.0
ESWW0090151_6,LoFTR + TPS Sequential,roi,True,True,True,min_distance,100,0,10,0.018875908106565475,113.06303405761719,0.10991790145635605,1.0063190460205078,1.065068085548093,0.38656094670295715,0.9634624123573303,15.0
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,min_distance,100,0,1,0.025186119601130486,141.42420959472656,0.5685227513313293,1.0335474014282227,1.1126019327884775,0.6236256957054138,0.9476295709609985,33.53612518310547
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,min_distance,100,0,2,0.019642416387796402,94.8055191040039,0.46270424127578735,1.0102449655532837,1.0716975795545387,0.5597590804100037,0.9728496670722961,12.0
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,min_distance,100,0,3,0.027737559750676155,152.8473663330078,0.4965360164642334,1.0280029773712158,1.0822229238479197,0.562703549861908,0.9680018424987793,14.866068840026855
ESWW0090151_6,LoFTR + TPS Semi-Sequential,roi,True,True,True,min_distance,100,0,4,0.022661829367280006,98.47769165039062,0.4188099503517151,1.0119750499725342,1.0769562299526423,0.5234479904174805,0.9594563245773315,26.937702178955078
